idImpianto;descCarburante;prezzo;isSelf;dtComu
3464;Benzina;1.601;0;17/01/2016 14:00:09
3464;Benzina;1.509;1;17/01/2016 14:00:09
3464;Gasolio;1.397;0;17/01/2016 14:00:09
3464;Gasolio;1.305;1;17/01/2016 14:00:09
3464;Metano;1.008;0;17/01/2016 14:00:09
3464;GPL;0.684;0;17/01/2016 14:00:09
3464;Excellium Diesel;1.385;1;17/01/2016 14:00:09
3467;Benzina;1.586;0;13/01/2016 10:15:51
3467;Benzina;1.486;1;13/01/2016 10:15:51
3467;Gasolio;1.380;0;13/01/2016 10:15:51
3467;Gasolio;1.280;1;13/01/2016 10:15:51
3467;Metano;1.034;0;13/01/2016 10:15:51
3467;GPL;0.636;0;13/01/2016 10:15:51
3467;Blue Super;1.736;0;13/01/2016 10:15:51
3467;Blue Super;1.636;1;13/01/2016 10:15:51
3467;Blue Diesel;1.480;0;13/01/2016 10:15:51
3467;Blue Diesel;1.380;1;13/01/2016 10:15:51
3467;Gasolio Alpino;1.380;0;13/01/2016 10:15:51
3467;Gasolio Alpino;1.280;1;13/01/2016 10:15:51
3468;Benzina;1.551;0;24/11/2015 09:56:04
3468;Benzina;1.551;1;24/11/2015 09:56:04
3468;Gasolio;1.425;0;24/11/2015 09:56:04
3468;Gasolio;1.425;1;24/11/2015 09:56:04
3468;GPL;0.634;0;24/11/2015 09:56:04
3468;Excellium Diesel;1.505;0;24/11/2015 09:56:04
3468;Excellium Diesel;1.505;1;24/11/2015 09:56:04
3470;Benzina;1.925;0;18/01/2016 11:45:18
3470;Benzina;1.815;1;18/01/2016 11:45:18
3470;Gasolio;1.665;0;18/01/2016 11:45:18
3470;Gasolio;1.555;1;18/01/2016 11:45:18
3470;Blue Super;2.075;0;18/01/2016 11:45:18
3470;Blue Super;1.965;1;18/01/2016 11:45:18
3470;Blue Diesel;1.765;0;18/01/2016 11:45:18
3470;Blue Diesel;1.655;1;18/01/2016 11:45:18
3471;Benzina;1.409;1;16/01/2016 09:00:08
3471;Gasolio;1.210;1;16/01/2016 09:00:08
